energy_tev,run_name,k3,k4,k3t,cross_section_pb,cross_section_error_pb,prediction_pb,prediction_error_pb,relative_residual,pull,requested_events
13.6,ct3_ratefit_contact_d_m0p5,3.0,-50.0,-0.5,0.0040255,3.6969e-06,0.004027319640916026,1.3846425419741272e-06,-0.00045202854701906323,-0.49220723201202066,20000
13.6,ct3_ratefit_baseline_k3_p3_k4_m50,3.0,-50.0,0.0,0.0026975,1.6628e-06,0.0026976180761232606,8.966990714684639e-07,-4.3772427529495076e-05,-0.07101041812654135,20000
13.6,ct3_ratefit_contact_d_p0p5,3.0,-50.0,0.5,0.001753,2.6399e-06,0.0017521911527769549,1.2757013622146066e-06,0.0004614074290046322,0.3063931296810941,20000
13.6,ct3_ratefit_contact_d_p5,3.0,-50.0,5.0,0.010511,1.6362e-05,0.010535707707750882,1.1688413021021696e-05,-0.0023506524356277,-1.5100664803130885,20000
13.6,ct3_ratefit_baseline_k3_p6_k4_m50,6.0,-50.0,0.0,0.0018862,1.648e-06,0.001888388749137218,1.3997115189783093e-06,-0.0011604014087678634,-1.3281244764671989,20000
13.6,ct3_ratefit_baseline_k3_m8_k4_p1,-8.0,1.0,0.0,0.024765,1.8617e-05,0.024803628765324163,9.294747753289405e-06,-0.0015598128537922084,-2.0749189087481352,20000
13.6,ct3_ratefit_baseline_k3_m5_k4_p1,-5.0,1.0,0.0,0.0068079,6.8629e-06,0.006815082528841348,2.00961824807055e-06,-0.0010550285464457456,-1.046573437081699,20000
13.6,ct3_ratefit_contact_sm_m5,1.0,1.0,-5.0,0.019939,1.8258e-05,0.019943435204335832,7.710028689593975e-06,-0.00022243865468847616,-0.2429184103315547,20000
13.6,ct3_ratefit_contact_sm_m0p5,1.0,1.0,-0.5,0.00030784,2.374e-07,0.000307770417687591,1.899029337496122e-07,0.00022603401900000186,0.29310156869823323,20000
13.6,ct3_ratefit_baseline_sm,1.0,1.0,0.0,4.7395e-05,4.7966e-08,4.740309307008392e-05,4.6582988234993744e-08,-0.00017075788762354056,-0.16872514038939468,20000
13.6,ct3_ratefit_contact_sm_p0p5,1.0,1.0,0.5,0.00017142,2.6625e-07,0.00017131040989903636,2.0224209852327989e-07,0.0006393075543323599,0.4116060130090259,20000
13.6,ct3_ratefit_contact_sm_p5,1.0,1.0,5.0,0.018514,3.8198e-05,0.018578835126450286,7.974565919040317e-06,-0.003501951304433777,-1.6973434852685203,20000
13.6,ct3_ratefit_baseline_k3_p3_k4_p1,3.0,1.0,0.0,6.2585e-05,3.5236e-08,6.258620853005978e-05,3.522319217448641e-08,-1.9310219058649953e-05,-0.034298162668452925,20000
13.6,ct3_ratefit_baseline_k3_p6_k4_p1,6.0,1.0,0.0,0.00050897,5.8375e-07,0.0005082775321936816,5.41546509518455e-07,0.0013605277448933484,1.1862403534361756,20000
13.6,ct3_ratefit_contact_a_m5,-8.0,50.0,-5.0,0.024092,2.4034e-05,0.024069644963102658,1.8944379039135728e-05,0.0009279029095691944,0.9301421693160119,20000
13.6,ct3_ratefit_contact_a_m0p5,-8.0,50.0,-0.5,0.035916,1.7453e-05,0.035884103894544876,9.407481708616805e-06,0.000888075104552855,1.8275428553899236,20000
13.6,ct3_ratefit_baseline_k3_m8_k4_p50,-8.0,50.0,0.0,0.039125,7.125e-05,0.03911819476082631,9.801135525023566e-06,0.00017393582552570878,0.09551212875359097,20000
13.6,ct3_ratefit_contact_a_p0p5,-8.0,50.0,0.5,0.04273,3.0143e-05,0.04273656026855419,1.0579027365699045e-05,-0.00015352840051943478,-0.2176382096737368,20000
13.6,ct3_ratefit_contact_a_p5,-8.0,50.0,5.0,0.092472,6.7312e-05,0.0925942087031959,2.789638170366757e-05,-0.0013215752140745625,-1.815555966185865,20000
13.6,ct3_ratefit_baseline_k3_m5_k4_p50,-5.0,50.0,0.0,0.0149,3.988e-06,0.014899581768202764,3.6276128426199023e-06,2.8069248136658565e-05,0.1048725670100834,20000
13.6,ct3_ratefit_baseline_k3_p1_k4_p50,1.0,50.0,0.0,0.0017558,2.6347e-06,0.0017555845919951375,1.0921954544463414e-06,0.00012268367972579936,0.08175807676872454,20000
13.6,ct3_ratefit_baseline_k3_p3_k4_p50,3.0,50.0,0.0,0.0014492,1.0909e-06,0.0014479405411896862,9.314908822976136e-07,0.0008690717708487043,1.1545135304005338,20000
13.6,ct3_ratefit_contact_b_m5,6.0,50.0,-5.0,0.013073,2.3488e-05,0.01307098186272642,1.519211832458778e-05,0.00015437445678720424,0.08592205694733995,20000
13.6,ct3_ratefit_contact_b_m0p5,6.0,50.0,-0.5,0.0023606,2.5311e-06,0.0023672682466344976,1.805794469087382e-06,-0.0028248100629067125,-2.6345251607986984,20000
13.6,ct3_ratefit_baseline_k3_p6_k4_p50,6.0,50.0,0.0,0.0031001,3.443e-06,0.0030993399409676922,1.4071952148205283e-06,0.00024517242421468496,0.2207548743270244,20000
13.6,ct3_ratefit_contact_b_p0p5,6.0,50.0,0.5,0.0042116,4.0026e-06,0.004215686276747346,2.268953733340145e-06,-0.00097024331544921,-1.020905598197645,20000
13.6,ct3_ratefit_contact_b_p5,6.0,50.0,5.0,0.031565,7.1127e-05,0.03155516216385491,1.827008850090673e-05,0.00031166913179437087,0.13831366633049783,20000
14,ct3_ratefit_baseline_k3_m8_k4_m50,-8.0,-50.0,0.0,0.015017,1.8938e-05,0.015012879396760024,1.3643764991794276e-05,0.0002743959006443954,0.21758386524326148,20000
14,ct3_ratefit_contact_c_m5,-5.0,-50.0,-5.0,0.020597,2.5804e-05,0.02060510358459179,1.1367686447152787e-05,-0.0003934351891921411,-0.3140437370869063,20000
14,ct3_ratefit_contact_c_m0p5,-5.0,-50.0,-0.5,0.0025596,1.876e-06,0.0025611658469816686,1.134533703741441e-06,-0.0006117545638649169,-0.8346732311666533,20000
14,ct3_ratefit_baseline_k3_m5_k4_m50,-5.0,-50.0,0.0,0.0026608,8.3529e-07,0.0026599731177959387,7.325623222391572e-07,0.0003107645084415655,0.989934279186052,20000
14,ct3_ratefit_contact_c_p0p5,-5.0,-50.0,0.5,0.0031761,2.6304e-06,0.003179518236942177,1.211107629417057e-06,-0.0010762371909502453,-1.2995122195016249,20000
14,ct3_ratefit_contact_c_p5,-5.0,-50.0,5.0,0.026768,1.5535e-05,0.026788627484196866,9.982371982976403e-06,-0.0007706023683825981,-1.327807157828477,20000
14,ct3_ratefit_baseline_k3_p1_k4_m50,1.0,-50.0,0.0,0.0025224,3.2428e-06,0.0025305390681757216,1.1932950592127303e-06,-0.0032267158958616663,-2.509889039016118,20000
14,ct3_ratefit_contact_d_m5,3.0,-50.0,-5.0,0.036133,2.2964e-05,0.03625727694125955,1.1579845706474474e-05,-0.0034394304724088515,-5.411815940583044,20000
14,ct3_ratefit_contact_d_m0p5,3.0,-50.0,-0.5,0.0043569,6.2939e-06,0.004350877488376063,1.5093580669613765e-06,0.0013822928283727615,0.9568807295853581,20000
14,ct3_ratefit_baseline_k3_p3_k4_m50,3.0,-50.0,0.0,0.0029127,1.3032e-06,0.00290941123527107,8.985563684607968e-07,0.0011291120709065983,2.5236070663978274,20000
14,ct3_ratefit_contact_d_p0p5,3.0,-50.0,0.5,0.001888,1.2474e-06,0.0018886828304980456,9.530702698412118e-07,-0.0003616686959987629,-0.5474029966696042,20000
14,ct3_ratefit_contact_d_p5,3.0,-50.0,5.0,0.011617,1.3651e-05,0.011635330362479376,9.188316633459976e-06,-0.001577891235204878,-1.3427853255713917,20000
14,ct3_ratefit_baseline_k3_p6_k4_m50,6.0,-50.0,0.0,0.0020429,1.7412e-06,0.0020450273261421723,1.4175483117295584e-06,-0.0010413266151904166,-1.2217586389688158,20000
14,ct3_ratefit_baseline_k3_m8_k4_p1,-8.0,1.0,0.0,0.0266,2.8949e-05,0.026619835885656473,9.546282547494299e-06,-0.000745709987085509,-0.6852010658908612,20000
14,ct3_ratefit_baseline_k3_m5_k4_p1,-5.0,1.0,0.0,0.0072958,8.1091e-06,0.0073068027775520725,4.0540937002543524e-06,-0.0015080974741731703,-1.3568432442654075,20000
14,ct3_ratefit_contact_sm_m5,1.0,1.0,-5.0,0.021862,9.1128e-06,0.02184189558093893,5.859821587699263e-06,0.0009196056655873443,2.2061736306152357,20000
14,ct3_ratefit_contact_sm_m0p5,1.0,1.0,-0.5,0.00033764,3.6836e-07,0.00033684207768344015,2.2453497788593467e-07,0.002363233966828129,2.166148106634405,20000
14,ct3_ratefit_baseline_sm,1.0,1.0,0.0,5.1071e-05,2.6689e-08,5.10809300926693e-05,2.6525662442033405e-08,-0.00019443701257655974,-0.37206686909578784,20000
14,ct3_ratefit_contact_sm_p0p5,1.0,1.0,0.5,0.00018673,2.8643e-07,0.0001860576308338662,2.2543753608379453e-07,0.0036007559906484697,2.347411814872006,20000
14,ct3_ratefit_contact_sm_p5,1.0,1.0,5.0,0.020336,1.3555e-05,0.02033405111244319,5.9481425737579005e-06,9.583436058275536e-05,0.14377628600596926,20000
14,ct3_ratefit_baseline_k3_p3_k4_p1,3.0,1.0,0.0,6.7534e-05,1.1837e-07,6.755075285390366e-05,1.1793142886633763e-07,-0.00024806547670314495,-0.14152955904089035,20000
14,ct3_ratefit_baseline_k3_p6_k4_p1,6.0,1.0,0.0,0.000547,4.7349e-07,0.0005467760662353478,4.51695369679048e-07,0.00040938531015013155,0.4729429653258188,20000
14,ct3_ratefit_contact_a_m5,-8.0,50.0,-5.0,0.026034,3.257e-05,0.026056794859132613,2.068096310512935e-05,-0.0008755803615507361,-0.6998728625302998,20000
14,ct3_ratefit_contact_a_m0p5,-8.0,50.0,-0.5,0.038499,1.303e-05,0.03850376409263111,9.644363449387458e-06,-0.0001237458799217771,-0.36562491412958525,20000
14,ct3_ratefit_baseline_k3_m8_k4_p50,-8.0,50.0,0.0,0.042041,3.0005e-05,0.04199044991579078,9.883874880708014e-06,0.0012023996624537798,1.68472201997065,20000
14,ct3_ratefit_contact_a_p0p5,-8.0,50.0,0.5,0.04586,4.7961e-05,0.04589787358728242,1.0515653745345784e-05,-0.000825852317540882,-0.7896746790605877,20000
14,ct3_ratefit_contact_a_p5,-8.0,50.0,5.0,0.10006,5.3079e-05,0.09999788980564572,2.546543976848132e-05,0.0006207295058392254,1.1701462792116073,20000
14,ct3_ratefit_baseline_k3_m5_k4_p50,-5.0,50.0,0.0,0.015994,1.4155e-05,0.01599023612870843,7.81766943372443e-06,0.00023533020454986366,0.2659040121208421,20000
14,ct3_ratefit_baseline_k3_p1_k4_p50,1.0,50.0,0.0,0.0018897,2.2821e-06,0.0018876887499917733,1.1978074327544184e-06,0.0010643223835670693,0.8813154586681964,20000
14,ct3_ratefit_baseline_k3_p3_k4_p50,3.0,50.0,0.0,0.0015558,1.1836e-06,0.0015559680850594471,9.696909064134102e-07,-0.00010803770371973205,-0.1420117095700905,20000
14,ct3_ratefit_contact_b_m5,6.0,50.0,-5.0,0.014364,2.4356e-05,0.014347243675134649,1.5318182593023978e-05,0.0011665500463207566,0.6879752367117487,20000
14,ct3_ratefit_contact_b_m0p5,6.0,50.0,-0.5,0.0025359,3.8294e-06,0.0025349049069047667,2.2207068729409296e-06,0.000392402340483881,0.2598561380981548,20000
14,ct3_ratefit_baseline_k3_p6_k4_p50,6.0,50.0,0.0,0.0033249,4.0833e-06,0.0033261120632057297,1.5225026116626503e-06,-0.00036454125108415707,-0.29683422862138803,20000
14,ct3_ratefit_contact_b_p0p5,6.0,50.0,0.5,0.0045352,2.8758e-06,0.004538057067838661,2.0087234284541793e-06,-0.0006299761507014268,-0.9934862781351661,20000
14,ct3_ratefit_contact_b_p5,6.0,50.0,5.0,0.034438,4.8788e-05,0.03437876528447359,1.6210205823961033e-05,0.0017200393613570526,1.214124693088755,20000
